$version 62
##TREATMENT CHILD
##key,title,classification,description

palu_grave_transfer,Maladie fébrile très grave ou paludisme grave avec transfert possible,Maladie fébrile très grave ou paludisme grave,"# Donner : (première dose)\n** {{med:antipalu:artesunate_inj_ref}}\n** {{med:antipalu:arthemer_inj_ref}}\n** {{med:antipalu:quinine_inj_ref}}\n# Donner la première dose de l’antibiotique:\n** {{med:antibio:ampi_amoxi_inj_ref}}\n** {{med:antibio:genta_inj_ref}}\n# Administrer du diazépam si l’enfant convulse : {{med:anticonvulsant:diazepam_inj}}\n# {{help:hypoglycemie}}\n# Administrer, au centre de santé, une dose de paracétamol si la fièvre  est élevée (38,5°C ou plus)\n** {{med:antipyretique:para_100}}\n** {{med:antipyretique:para_500}}\n** {{med:antipyretique:para_sirop_125}}\n# Transférer d’URGENCE à l’échelon supérieur."

palu_grave_no_transfert,Maladie fébrile très grave ou paludisme grave si transfert impossible,Maladie fébrile très grave ou paludisme grave,"# Donner : (première dose)\n** {{med:antipalu:artesunate_inj_nonref}}\n** {{med:antipalu:arthemer_inj_nonref}}\n** {{med:antipalu:quinine_inj_nonref}}\n# Donner : {{med:ampi_amoxi_inj_nonref}}\n# Donner : {{med:genta_inj_nonref}}\n# Faire le relai avec la voie orale en utilisant l’antibiotique approprié\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# Administrer du diazépam si l’enfant convulse : {{med:anticonvulsant:diazepam_inj}}\n# {{help:hypoglycemie}}\n# Administrer, au centre de santé, une dose de paracétamol si la fièvre  est élevée (38,5°C ou plus)\n** {{med:antipyretique:para_100}}\n** {{med:antipyretique:para_500}}\n** {{med:antipyretique:para_sirop_125}}"

palu_simple,Paludisme simple,Paludisme simple,"# Donner :\n** {{med:antipalu:art_lumefan}}\n** {{med:antipalu:art_lumefan_susp}}\n** {{med:antipalu:art_amodiaq}}\n# Administrer, au centre de santé, une dose de paracétamol si la température est de 38.5°C ou plus.\n** {{med:antipyretique:para_100}}\n** {{med:antipyretique:para_500}}\n** {{med:antipyretique:para_sirop_125}}\n# {{help:baisser_fievre}}\n# {{help:revenir_immediatement}}\n# Revoir l’enfant dans 2 jours si la fièvre persiste.\n# {{help:prevention paludisme}}"

rougeole_compliquee,Rougeole grave et compliquée,Rougeole grave et compliquée,"# Donner : {{med:vitamine:vit_a}}\n# Donner la première dose de l’antibiotique:\n** {{med:antibio:ampi_amoxi_inj_ref}}\n** {{med:antibio:genta_inj_ref}}\n# Si écoulement oculaire de pus: {{help:pommade_ophtalmique}}\n# {{help:hypoglycemie}}\n# Transférer l’enfant d‘UREGENCE à  l’échelon supérieur"

rougeole_yeux_bouche,Rougeole avec complication aux yeux et/ou la bouche,Rougeole avec complication aux yeux et/ou la bouche,"# Donner : {{med:vitamine:vit_a}}\n# Donner l’antibiotique approprié:\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# Si écoulement oculaire de pus : {{help:pommade_ophtalmique}}\n# En cas d’ulcération de la bouche : {{help:ulcerations_bouche}}\n# {{help:revenir _immediatement}}\n# Revoir l’enfant dans 2 jours."

rougeole,Rougeole,Rougeole,"# Donner : {{med:vitamine:vit_a}}\n# Donner l’antibiotique approprié :\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# {{help:alimentation_hygiene}}\n# {{help:revenir_immediatement}}\n# Revoir l’enfant dans 2 jours."

rougeole_antecedent,Antécédent de rougeole,Antécédent de rougeole,"Donner : {{med:vitamine:vit_a}} si l’enfant n’a pas reçu au cours des trois (3) derniers mois"

masc,Malnutrition aiguë sévère avec complications,Malnutrition aiguë sévère avec complications,"# Donner l’antibiotique approprié :\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# {{help:hypoglycemie}}\n# {{help:garder_au_chaud}}\n# Transférer l’enfant d‘UREGENCE à l’échelon supérieur"

mass,Malnutrition aiguë sévère sans complications,Malnutrition aiguë sévère sans complications,"# Donner antibiotique : se référer au protocole PECIMA\n# Donner un aliment thérapeutique : se référer au protocole PECIMA\n# {{help:alimentation_hygiene}}\n# Dépister l’infection éventuelle à TB\n# {{help:revenir_immediatement}}\n# Revoir dans 7 jours"

mam,Malnutrition aiguë modérée,Malnutrition aiguë modérée,"# Traiter selon le protocole PECIMA\n# {{help:evaluer_alimentation}}\n# {{help:recommandation_alimentation}}\n# {{help:revenir_immediatement}}"

pas_malnutrition,Pas de malnutrition aigue,Pas de malnutrition aigue,"# {{help:evaluer_alimentation}} si l’enfant à moins de 2 ans\n# {{help:recommandation_alimentation}}\n# Revoir dans 5 jours si problème d’alimentation\n# {{help:revenir_immediatement}}"

mastoidite,Mastoïdite,Mastoïdite,"# Donner l’antibiotique approprié:\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# Donner première dose de paracétamol ou d’AAS pour calmer la douleur.\n** {{med:antipyretique:para_100}}\n** {{med:antipyretique:para_500}}\n** {{med:antipyretique:para_sirop_125}}\n** {{med:antipyretique:asp_100}}\n** {{med:antipyretique:asp_500}}\n** {{med:antipyretique:asp_inj}}\n# Transférer l’enfant d‘UREGENCE à l’échelon supérieur"

oreille_aigue,Infection aiguë de l'oreille,Infection aiguë de l'oreille,"# Donner l’antibiotique approprié:\n** Première intention : {{med:antibio:amoxi_250}}\n** Première intention : {{med:antibio:amoxi_500}}\n** Première intention : {{med:antibio:amoxi_sirop_125}}\n** Première intention : {{med:antibio:amoxi_sirop_250}}\n** Deuxième intention : {{med:antibio:ery_250}}\n** Deuxième intention : {{med:antibio:ery_sirop_125}}\n# Donner du paracétamol ou d’AAS pour  calmer la douleur.\n** {{med:antipyretique:para_100}}\n** {{med:antipyretique:para_500}}\n** {{med:antipyretique:para_sirop_125}}\n** {{med:antipyretique:asp_100}}\n** {{med:antipyretique:asp_500}}\n** {{med:antipyretique:asp_inj}}\n# {{help:assecher_oreille}} \n# {{help:revenir_immediatement}}\n# Revoir l’enfant dans 5 jours"

oreille_chronique,Infection chronique de l'oreille,Infection chronique de l'oreille,"# {{help:assecher_oreille}}\n# {{help:instiller_goutte_auriculaire}} \n# {{help:revenir_immediatement}}\n# Revoir l’enfant dans 5 jours"

anemie_grave,Anémie grave,Anémie grave,"# Donner : (première dose)\n** {{med:antipalu:artesunate_inj_ref}}\n** {{med:antipalu:arthemer_inj_ref}}\n** {{med:antipalu:quinine_inj_ref}}\n# Donner : {{med:vitamine:vit_a}}.\n# {{help:hypoglycemie}}\n# Transférer l’enfant d‘URGENCE à l’échelon supérieur"

anemie,Anémie,Anémie,"# Donner du fer/ acide folique : \n** {{med:micronut:fer_acide_folique}}\n** {{med:micronut:fer_sirop}}\n# Donner une CTA si TDR (+) : {{med:antipalu:art_lumefan}}\n# Donner une CTA si TDR (+) : {{med:antipalu:art_lumefan_susp}}\n# Donner une CTA si TDR (+) : {{med:antipalu:art_amodiaq}}\n# Donner un déparasitant : {{med:deparasitant:mebendazole}}\n# Donner un déparasitant : {{med:deparasitant:albendazole}}\n# {{help:revenir_immediatement}}\n# Revoir l’enfant dans 14 jours"

vih_symp_confirmee,Infection a vih symptomatique confirmee,Infection a vih symptomatique confirmee,"# Débuter le traitement pour les autres classifications\n# Débuter la prophylaxie au Cotrimoxazole \n** {{med:antibio:cotri_100}}\n** {{med:antibio:cotri_200_susp}}\n** {{med:antibio:cotri_400}}\n# Donner : {{med:vitamine:vit_a}}.\n# {{help:evaluer_alimentation}}\n# {{help:recommandations_alimentation}}\n# Evaluer l’éligibilité au traitement ARV (>24 mois) si non référer.\n# Faire au besoin si disponible le traitement ARV  si non référer pour traitement ARV\n# Faire dépistage TB ou référer pour dépistage"

vih_asymp_confirmee,Infection a vih asymptomatique confirmee,Infection a vih asymptomatique confirmee,"# Débuter le traitement pour les autres classifications\n# Débuter la prophylaxie au Cotrimoxazole \n** {{med:antibio:cotri_100}}\n** {{med:antibio:cotri_200_susp}}\n** {{med:antibio:cotri_400}}\n# Donner : {{med:vitamine:vit_a}}.\n# Evaluer l’éligibilité au traitement ARV (>24 mois) si non référer.\n# Faire au besoin si disponible le traitement ARV  si non référer pour traitement ARV\n# Faire dépistage TB ou référer pour dépistage"

vih_symp_probable,Infection a vih symptomatique probable,Infection a vih symptomatique probable,"# Débuter le traitement pour les autres classifications\n# Débuter la prophylaxie au Cotrimoxazole \n** {{med:antibio:cotri_100}}\n** {{med:antibio:cotri_200_susp}}\n** {{med:antibio:cotri_400}}\n# Donner : {{med:vitamine:vit_a}}.\n# {{help:evaluer_alimentation}}\n# {{help:recommandations_alimentation}}\n# Si possible confirmer (PCR avant l’âge de 18 mois sérologie après 18 mois d’âge) et  se référer à la classification appropriée si non référer"

vih_expose,Enfant expose/infection a vih possible,Enfant expose/infection a vih possible,"# Débuter le traitement pour les autres classifications\n# Débuter la prophylaxie au Cotrimoxazole \n** {{med:antibio:cotri_100}}\n** {{med:antibio:cotri_200_susp}}\n** {{med:antibio:cotri_400}}\n# Donner : {{med:vitamine:vit_a}}.\n# {{help:evaluer_alimentation}}\n# {{help:recommandations_alimentation}}\n# Si possible confirmer (PCR avant l’âge de 18 mois sérologie après 18 mois d’âge) et  se référer à la classification appropriée si non référer"

vih_peu_probable,Infection a vih peu probable,Infection a vih peu probable,"# Débuter le traitement pour les autres classifications\n# {{help:evaluer_alimentation}}\n# {{help:recommandations_alimentation}}\n# {{help:conseiller_mere}}\n# Conseiller la mère pour le dépistage du VIH\n"

vih_pas,Pas d’infection a vih,Pas d’infection a vih,"# Débuter le traitement pour les autres classifications\n# {{help:evaluer_alimentation}}\n# {{help:recommandations_alimentation}}\n# {{help:conseiller_mere}}"
